LLP Dijkstra, Dijkstra, DeltaStepping, FloydWarshall, LLP Transitive Closure
39578.30859375, 44.09600067138672, 8234.7607421875, 1884.10498046875, 1340.6180419921875
4517.541015625, 14.62399959564209, 4972.98193359375, 1449.8370361328125, 930.5590209960938
1842.7430419921875, 14.46500015258789, 7055.087890625, 668.8410034179688, 932.52099609375
2203.012939453125, 12.392000198364258, 6490.5361328125, 1059.8399658203125, 1279.52294921875
2197.60400390625, 13.031999588012695, 4305.619140625, 461.885986328125, 496.9429931640625
1693.2110595703125, 13.925999641418457, 6274.27587890625, 995.0679931640625, 797.5479736328125
2372.626953125, 12.890999794006348, 3864.22705078125, 422.09100341796875, 530.64599609375
1407.4100341796875, 11.963000297546387, 6268.7900390625, 441.875, 611.1859741210938
1617.2149658203125, 18.658000946044922, 4424.06689453125, 458.7640075683594, 807.364990234375
1484.3680419921875, 12.336000442504883, 3520.719970703125, 413.8659973144531, 673.7000122070312
2310.89111328125, 10.670000076293945, 3832.48291015625, 368.7919921875, 2023.0909423828125
1222.3330078125, 12.333999633789062, 3204.26611328125, 572.541015625, 465.635009765625
1181.928955078125, 10.494999885559082, 4394.25390625, 462.60198974609375, 413.4909973144531
1696.45703125, 19.48200035095215, 3092.216064453125, 380.1080017089844, 401.85101318359375
1195.8170166015625, 15.182000160217285, 4466.22802734375, 392.4440002441406, 404.75201416015625
2101.262939453125, 24.791000366210938, 3127.490966796875, 331.6130065917969, 377.9679870605469
1088.220947265625, 14.753999710083008, 2908.18896484375, 374.42999267578125, 438.8389892578125
1132.4429931640625, 23.533000946044922, 4794.6171875, 623.6279907226562, 589.9609985351562
2309.833984375, 11.402000427246094, 3273.66796875, 368.0, 392.822998046875
1644.0550537109375, 7.747000217437744, 4844.6298828125, 403.9410095214844, 395.2619934082031
1901.2099609375, 10.934000015258789, 4075.115966796875, 398.239013671875, 406.239013671875
2564.617919921875, 10.934000015258789, 3123.93701171875, 373.1700134277344, 407.5260009765625
1492.373046875, 8.21399974822998, 5126.623046875, 399.1029968261719, 452.7179870605469
1585.5570068359375, 9.279999732971191, 4615.06884765625, 348.8900146484375, 404.322998046875
3584.318115234375, 9.494999885559082, 6161.115234375, 397.6130065917969, 413.75299072265625
1321.2020263671875, 10.232000350952148, 3242.656005859375, 374.8840026855469, 420.0870056152344
1124.1080322265625, 8.854999542236328, 3491.280029296875, 386.2510070800781, 429.9880065917969
2847.126953125, 9.364999771118164, 3769.450927734375, 368.1130065917969, 421.41400146484375
4395.93603515625, 8.664999961853027, 3341.7041015625, 381.8680114746094, 479.64599609375
1981.72705078125, 11.354000091552734, 3624.988037109375, 353.91400146484375, 392.2820129394531
2514.964111328125, 11.383999824523926, 3090.385009765625, 344.95599365234375, 568.81201171875
1475.9520263671875, 18.202999114990234, 4498.7470703125, 405.6679992675781, 481.260009765625
2002.279052734375, 19.26099967956543, 4719.84716796875, 378.89801025390625, 416.427001953125
1450.928955078125, 10.156000137329102, 2946.404052734375, 326.989013671875, 395.07501220703125
1441.7110595703125, 6.723999977111816, 5655.505859375, 359.6099853515625, 385.5509948730469
1619.22998046875, 7.063000202178955, 4170.73583984375, 370.9519958496094, 377.94500732421875
1769.844970703125, 7.019000053405762, 3865.092041015625, 391.62298583984375, 1480.9749755859375
2710.610107421875, 7.271999835968018, 3366.5869140625, 394.6000061035156, 421.4830017089844
1329.6500244140625, 8.26099967956543, 3378.865966796875, 545.239990234375, 1381.074951171875
1862.1590576171875, 6.980999946594238, 2988.320068359375, 333.20599365234375, 311.66900634765625
1323.2960205078125, 7.186999797821045, 4100.01220703125, 354.3380126953125, 438.47198486328125
1631.4949951171875, 126.38700103759766, 5685.18896484375, 357.5790100097656, 330.2569885253906
1491.51904296875, 7.386000156402588, 3656.0830078125, 398.3810119628906, 350.6619873046875
1323.2979736328125, 7.459000110626221, 3038.010009765625, 338.20098876953125, 539.7899780273438
3523.27001953125, 7.790999889373779, 3126.77001953125, 364.3429870605469, 282.7099914550781
6050.73681640625, 7.197999954223633, 2915.87109375, 324.63800048828125, 341.8479919433594
1092.845947265625, 7.349999904632568, 3196.26806640625, 309.9949951171875, 316.5360107421875
1039.9530029296875, 7.11299991607666, 2739.610107421875, 316.8450012207031, 307.8739929199219
915.6320190429688, 6.736999988555908, 2741.39111328125, 351.9410095214844, 343.5459899902344
962.9609985351562, 8.609000205993652, 3423.73095703125, 1015.6010131835938, 328.9339904785156
1131.615966796875, 7.932000160217285, 2807.64111328125, 421.76300048828125, 334.67999267578125
978.3140258789062, 11.071000099182129, 2873.571044921875, 329.5740051269531, 297.1409912109375
842.0679931640625, 8.454999923706055, 2708.592041015625, 442.9800109863281, 515.2269897460938
1188.4100341796875, 17.266000747680664, 4069.179931640625, 313.9419860839844, 321.7040100097656
861.3159790039062, 21.726999282836914, 2909.133056640625, 318.4540100097656, 326.2279968261719
881.3740234375, 6.25600004196167, 2657.7548828125, 297.9880065917969, 286.5790100097656
884.1090087890625, 7.676000118255615, 3464.541015625, 1573.8370361328125, 313.95001220703125
947.77197265625, 7.336999893188477, 2651.945068359375, 330.4460144042969, 277.33599853515625
880.9130249023438, 6.014999866485596, 2590.5048828125, 308.8169860839844, 302.20098876953125
899.0250244140625, 12.88599967956543, 5490.03515625, 368.510009765625, 309.5799865722656
907.2830200195312, 16.18600082397461, 2682.076904296875, 315.02398681640625, 305.9440002441406
887.1849975585938, 4.954999923706055, 2730.4208984375, 309.25799560546875, 306.864013671875
1675.7030029296875, 5.02400016784668, 3025.14111328125, 790.5789794921875, 344.4159851074219
